Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
fvtx569193218,31,4.8,21.186608,72.794136,21.246608,72.854136,2022-03-05,18:55:00,19:00:00,Windy,Medium ,motorcycle ,Metropolitian ,170,Electronics
viin085856214,21,4.7,0.0,0.0,0.09,0.09,2022-04-04,22:35:00,22:40:00,Windy,Low ,motorcycle ,Metropolitian ,85,Skincare
otyu561756151,20,4.9,19.207222,72.972281,19.267222,73.032281,2022-03-19,23:50:00,23:55:00,Sunny,Low ,motorcycle ,Urban ,90,Electronics
xvgi973175898,31,4.8,17.410371,78.437225,17.430371,78.457225,2022-03-24,11:10:00,11:25:00,Cloudy,High ,motorcycle ,Metropolitian ,170,Pet Supplies
mmoh356419826,24,4.8,15.56155,73.749092,15.59155,73.779092,2022-02-13,23:50:00,00:00:00,Cloudy,Low ,motorcycle ,Metropolitian ,85,Pet Supplies
qnpa686430090,32,4.7,17.483216,78.552111,17.503216,78.572111,2022-03-24,09:30:00,09:45:00,Sunny,Low ,van,Metropolitian ,90,Home
rzdi595995604,38,3.9,12.325461,76.632278,12.405461,76.712278,2022-03-02,19:40:00,19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,170,Kitchen
tuik355377417,20,4.6,18.554382,73.798206,18.584382,73.828206,2022-03-03,17:50:00,18:05:00,Sandstorms,Medium ,scooter ,Metropolitian ,140,Clothing
nghz621929223,32,4.8,12.325461,76.632278,12.355461,76.662278,2022-03-19,18:30:00,18:45:00,Windy,Medium ,motorcycle ,Metropolitian ,150,Home
gnlv438245239,25,4.5,0.0,0.0,0.11,0.11,2022-03-16,21:10:00,21:15:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,130,Books
jjfx362897521,28,4.9,22.526461,88.364453,22.616461,88.454453,2022-02-16,18:10:00,18:25:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,130,Pet Supplies
